,skill_mean,skill_median,skill_5th,skill_95th,model,timeframe
0,0.82,0.84,0.57,0.99,manabe_1970,"[1970, 2000]"
1,0.88,0.91,0.69,0.99,mitchell_1970,"[1970, 2000]"
2,0.76,0.78,0.45,0.97,benson_1970,"[1970, 2000]"
3,0.20,0.19,0.16,0.25,rasool_schneider_1971,"[1971, 2000]"
4,0.80,0.83,0.49,0.99,sawyer_1972,"[1972, 2000]"
5,0.84,0.85,0.64,0.98,broecker_1975,"[1975, 2010]"
6,0.65,0.67,0.44,0.84,nordhaus_1977,"[1977, 2017]"
7,0.74,0.76,0.53,0.94,schneider_thompson_1981,"[1981, 2017]"
8,0.92,0.93,0.81,0.99,hansen_1981_1,"[1981, 2017]"
9,0.77,0.77,0.66,0.91,hansen_1981_2a,"[1981, 2017]"
10,0.36,0.38,0.01,0.68,hansen_1988_a,"[1988, 2017]"
11,0.46,0.48,0.08,0.77,hansen_1988_b,"[1988, 2017]"
12,0.67,0.66,0.48,0.89,hansen_1988_c,"[1988, 2017]"
14,0.61,0.63,0.29,0.87,far_ebm_best,"[1990, 2017]"
13,0.67,0.71,0.20,0.97,manabe_stouffer_1993,"[1993, 2017]"
17,0.74,0.73,0.58,0.95,sar_ebm_best,"[1995, 2017]"
20,0.71,0.81,0.15,0.98,tar_ebm_best,"[2001, 2017]"
23,0.57,0.56,0.35,0.92,ar4_mmm_best,"[2007, 2017]"
